date	firstParty	httpOnly	secure	session	sameParty	sameSiteLax	sameSiteNone	sameSiteStrict	sameSiteNull	partitionKey	partitionKeyOpaque	hostPrefix	securePrefix
2024-12-01	false	0.17135608522060705	0.93408824281983072	0.034481227037700415	0.0	0.018855517952233589	0.925526111242535	0.0015366938150849936	0.054081676990146425	0.068097309458174216	1.4483447833034814e-06	5.5037101765532289e-05	0.00026697822172227505
2025-06-01	false	0.19000357491259642	0.93733501374422612	0.040078405710165479	0.0	0.016903580365852919	0.92869160218695779	0.0018596614537573948	0.052545155993431854	0.073338725998097418	8.5838296806613379e-06	6.7155843972232829e-05	0.0017046475883478046
2025-02-01	false	0.18171863119327203	0.93851784746389233	0.03877851600880259	0.0	0.016937230784552948	0.93038895347612327	0.0014972640336781461	0.051176551705645647	0.070045813310758653	7.1822707084017247e-06	5.9373437856120924e-05	0.0016792148916243233
2026-02-01	false	0.19423744732100268	0.94076402915116986	0.0507090543207324	0.0	0.016605560343209085	0.93146619481366555	0.0016836882043085174	0.050244556638816891	0.063864722699056034	9.2714108166768582e-06	0.0001794017993026972	0.0023034820174033651
2025-04-01	false	0.19328477679370529	0.93493625378481338	0.038393449153033776	0.0	0.018056175327933119	0.92621372440760263	0.0018328454989398741	0.053897254765524351	0.079494568272864552	9.0759887155206972e-06	6.4540364199258292e-05	0.0017435982765705872
2025-10-01	false	0.18329731888084061	0.94491562916447513	0.057366508849853642	0.0	0.015086993879414539	0.936119449106885	0.0018033426741842625	0.0469902143395162	0.06404853349838148	7.6355729666581486e-06	6.2432037786204858e-05	0.0016766819932079332
2024-07-01	true	0.10421831425781422	0.31652928187488455	0.16449578168574219	0.0	0.1780718037142279	0.17572995750895126	0.023246034608651284	0.62295220416816954	0.00648538325518382	0.0	0.00043106861028758436	0.00032726025107547222
2026-04-01	false	0.21208800489966678	0.93469005517437	0.045556702328775928	0.0	0.01926667541354218	0.9227930650379772	0.0022745417584513145	0.0556657177900293	0.068476349174562315	9.0301751269669187e-06	0.00020875640146458818	0.00254757175934902
2025-05-01	true	0.10905503442035898	0.33380026562451742	0.15948917243973029	0.0	0.18796659163046578	0.18204000356104005	0.026918555743903082	0.60307484906459108	0.0070584900826851692	0.0	0.0006268157216284127	0.00046874914834820429
2025-01-01	true	0.10951280936659111	0.32882583500687979	0.16362434480206645	0.0	0.18852276442333601	0.1788227813084918	0.026919249436862091	0.60573520483131016	0.0063948036831195142	0.0	0.00052451760546935343	0.00042212889481266458
2025-07-01	false	0.19321000959372478	0.932606724905225	0.050681386906044894	0.0	0.018447316926796076	0.922997151466741	0.0020957217059079593	0.056459809900554915	0.073834172255962269	8.9809097555924646e-06	7.343214447219721e-05	0.0018167852146754404
2024-12-01	true	0.11052964170280948	0.32982092046741623	0.16068986712340119	0.0	0.1900190613000359	0.18006194922511673	0.026316334705378603	0.60360265476946873	0.0062398132545097929	0.0	0.00052660294483273021	0.00042646205696289952
2024-08-01	false	0.15842311280603985	0.93722080031848043	0.03850625645757625	0.0	0.016566922512005068	0.92984863903614878	0.0013831319226555745	0.052201306529190555	0.062395212669916683	1.4600266600868132e-06	5.0614257549676193e-05	4.4287475355966664e-05
2025-11-01	true	0.11134748027035937	0.33903837012131932	0.15668786096636536	0.0	0.18890732487382683	0.17907027995781782	0.02965684176400199	0.60236555340435338	0.0073072068511438907	0.0	0.00065932424728666215	0.00071032170287789573
2024-09-01	false	0.16205122792967711	0.93344590627164736	0.038293940565006478	0.0	0.018005979402670194	0.92534593156951817	0.0015308057190777504	0.055117283308733868	0.063434540336653092	2.0693554837144308e-06	5.5355259189361028e-05	4.5525820641717485e-05
2025-03-01	false	0.18813179039210451	0.9375577451154754	0.038153266001806227	0.0	0.017313750483634694	0.92923997148474979	0.0016209502870597934	0.051825327744555671	0.072868948249973128	7.9264072716860313e-06	6.24204572645275e-05	0.0016888201493236051
2025-03-01	true	0.11122411715297813	0.33488478252930648	0.16248219698352992	0.0	0.19081912135266407	0.18034364386663257	0.025649125369754958	0.60318810941094836	0.0067998393163641677	0.0	0.00058065222948544722	0.00044187999853923969
2026-04-01	true	0.12136863339132521	0.35022534345191675	0.15700926870238166	0.0	0.195068315435839	0.17546043553902455	0.032378591997120405	0.59709265702801606	0.0091374707540944275	0.0	0.00090737296778451012	0.00094299298098266243
2025-07-01	true	0.10909975810493742	0.33427464169747861	0.1581416212054074	0.0	0.18729615074493511	0.18078205472784989	0.0294360140342721	0.60248578049294288	0.0066539302499582309	0.0	0.00065377043940637643	0.00052664840952180319
2026-03-01	false	0.19970275858234043	0.92810711924649414	0.037284363764631082	0.0	0.020964169827524713	0.9162871109448536	0.0024449960148755514	0.060303723212746109	0.070056746599444719	1.1233613668162422e-05	0.00022411059267984031	0.0027539203907500178
2025-04-01	true	0.11023071840406948	0.33155927263511376	0.160025705777464	0.0	0.18822784008109991	0.17986441107520751	0.026422642807360543	0.605485106036332	0.0068518568803685705	0.0	0.00060643911622812973	0.00046161783474081515
2025-08-01	true	0.10931108276795889	0.3330600243655838	0.15661675651922274	0.0	0.19798287263802103	0.17873691957571017	0.029085075901294378	0.59419513188497441	0.00729359813935542	0.0	0.000646652590361661	0.00074132824585660035
2025-06-01	true	0.10939568932562378	0.33504772914885328	0.15921166109257184	0.0	0.18745025328120585	0.18235323448317892	0.026319823155608661	0.60387668908000658	0.0071302860794137694	0.0	0.00060942616063365551	0.00048015394474166796
2025-11-01	false	0.1913171151744415	0.94093901447270134	0.056799280964699564	0.0	0.015925767148844722	0.93156837275025484	0.0019843387193517643	0.050521521381548688	0.062598664964140224	9.1995304559655276e-06	6.3476760146162134e-05	0.0020547151273399007
2024-06-01	true	0.1033929018406422	0.27502106461813991	0.16437629340280838	0.0	0.17113107304398714	0.13421775350695045	0.02425692135758379	0.67039425209147863	0.006381080976270135	0.0	0.00039837687862901946	0.00032081677836496257
2025-05-01	false	0.185177834810007	0.93560069020022918	0.03936777418444664	0.0	0.017995221922026218	0.92663740883237788	0.0019019095773550978	0.053465459668240817	0.073632216293476424	9.5220769353746661e-06	5.9638271332083436e-05	0.001697936666160493
2025-02-01	true	0.11070227987760203	0.332591690729647	0.16292433449697596	0.0	0.1897904724963726	0.17885797813501128	0.0254421123705268	0.6059094369980893	0.0066101366202646209	0.0	0.00055129365455616373	0.000452527690384864
2025-09-01	true	0.11040364358878979	0.3368777274748006	0.15753985175238838	0.0	0.19151522849547728	0.18108527413106396	0.029654965932081907	0.59774453144137685	0.0075938342058228464	0.0	0.0006369022237141742	0.000749403471207846
2024-11-01	false	0.16913749987305293	0.93626435166803612	0.035341579492318129	0.0	0.017424391536668842	0.92847584693037155	0.0013985939584803299	0.052701167574479242	0.067455560063855585	9.6721573892139e-07	5.5614904987979927e-05	0.00027759091707043893
2025-01-01	false	0.17416828701536863	0.93655540622534006	0.036623356592955958	0.0	0.018066261551198736	0.92826119325889667	0.0015394323112970761	0.052133112878607467	0.069888965898227712	9.7002666118278259e-07	6.402175963806365e-05	0.0016592306039531497
2025-10-01	true	0.11376327056220188	0.34326952608967554	0.15821248441206182	0.0	0.18875374203026188	0.18105135786205645	0.029358979577488242	0.60083592053019341	0.0072324332725234143	0.0	0.00066237173485888525	0.00074008015068031865
2024-11-01	true	0.11028961044330476	0.32611419398560848	0.16210167553779531	0.0	0.18474237775009483	0.17971450604800657	0.025942883233656719	0.609600232968242	0.0062250696118454282	0.0	0.00050871923192383954	0.00042423229234638205
2026-01-01	false	0.18829031593635387	0.9386683632463414	0.0509574461596352	0.0	0.016973772923883346	0.92884546720923433	0.001810122894113441	0.052370636972768864	0.063202284752318608	7.9761765681515025e-06	0.00019330498506343641	0.0023609482641728445
2024-06-01	false	0.15431312933443905	0.93285863971110239	0.038486473686414391	0.0	0.015535515146381247	0.92541624332010874	0.0013837476313850326	0.057664493902125004	0.055507291507736235	2.8878211437600683e-06	4.6205138300161093e-05	3.3691246677200794e-05
2025-08-01	false	0.18942917148007191	0.9382211544140403	0.052070768278537294	0.0	0.017882952158886078	0.92920242760992877	0.00199954169294845	0.050915078538236749	0.064277800220648856	8.0321854395377238e-06	5.9060187055424441e-05	0.0016395107926585825
2024-07-01	false	0.15164093903814907	0.93809326689078376	0.036900060684449933	0.0	0.016197161915756996	0.93061251188264549	0.0013211162310134304	0.051869209970584036	0.061649862660251589	1.4323630983159706e-06	5.0132708441058977e-05	3.9151258020636532e-05
2024-10-01	false	0.16970355825018094	0.93678489928771713	0.035846493361650626	0.0	0.016861348077310965	0.928990227368904	0.00139411269176465	0.052754311862020418	0.068126134570435315	1.483098608260266e-06	5.6357747113890111e-05	0.00014287183259573897
2026-01-01	true	0.11112353126580515	0.34033035982613413	0.15328160847925998	0.0	0.19306112426425853	0.17962719989444906	0.028348494066423802	0.59896318177486862	0.0076817638737200116	0.0	0.00078796719124513473	0.00076597740916387513
2026-02-01	true	0.11402468549293329	0.3409576363320756	0.15366399590706853	0.0	0.19538997049069498	0.17954447865371789	0.028570123427464667	0.59649542742812245	0.0082150981664032459	0.0	0.00080945028641384292	0.00079483267401810759
2024-09-01	true	0.10826471318236901	0.31395361569795455	0.16213883170542975	0.0	0.18569963353919378	0.17371300716861576	0.028132436891361162	0.61245492240082933	0.0071649657629246789	0.0	0.00046172601579723475	0.00036682580701677544
2025-12-01	false	0.19699961734880903	0.936381519792148	0.047368811894066637	0.0	0.017874871641573611	0.92550930684321286	0.0023692210328555004	0.054246600482358076	0.063005008520965647	1.0878834848408166e-05	6.7637973187929036e-05	0.0024368590060434292
2025-12-01	true	0.11196357961012143	0.34316167762486216	0.15614496423124249	0.0	0.19191194617907284	0.17789741140374396	0.030149094195500364	0.60004154822168287	0.0073863505213946712	0.0	0.00067649027611811771	0.00072620609693519725
2026-03-01	true	0.11604109427161807	0.34395772400957192	0.15341110520251705	0.0	0.19847336701231941	0.17837306862831989	0.032146444503530387	0.59100711985583032	0.0090290702827262245	0.0	0.0008493603946940825	0.00079581376111554259
2025-09-01	false	0.19465296882961605	0.93806178036696664	0.051379363618654826	0.0	0.017591216290779005	0.92888713390416189	0.0019805951573296896	0.051541054647729463	0.066087489720384876	9.5959067700081846e-06	6.5252166036055664e-05	0.0016864806148289386
2024-10-01	true	0.1101859101585972	0.32093082539740347	0.16217702434494438	0.0	0.18357945337679127	0.17686592982392249	0.026380669713578178	0.613173947085708	0.00637120122362024	0.0	0.00050802090351244561	0.00039876909630546804
2024-08-01	true	0.10465642972766663	0.3145413498827907	0.1598413388746826	0.0	0.18210298175360967	0.17483041197393423	0.024822381468842542	0.61824422480361352	0.00677630261108715	0.0	0.00042949667681457836	0.00036633540081243448